Requirement_ID,Requirement,Official_Wording,Current_Implementation,Evidence_File,Status,Scientific_Risk,Implementation_Priority,Recommended_Solution
REQ-01,Non-Georeferenced RGB Input,"PNG/JPG optical RGB input processing without spatial coordinates",Basic fallback in app.py scaled 0-10m,app.py,PARTIAL,Low - Scale ambiguity,HIGH,"Formalize rDSM output format with dedicated relative-depth height colormap and clear 'Relative Height (rDSM)' UI labelling"
REQ-02,Georeferenced GeoTIFF Input,"GeoTIFF input with CRS, affine transform, spatial resolution parsing",Rasterio parser extracts CRS/transform/GSD,app.py,PASS,None,MEDIUM,"Maintain rasterio reader; add explicit multi-band handling and validation"
REQ-03,Monocular Depth Estimation,"Extract elevation/depth using robust pretrained monocular backbone",Depth Anything V2 with cache,depthwizard/depth/depth_anything.py,PASS,None,LOW,"Preserve Depth Anything V2 with MD5 caching"
REQ-04,Scale & Metric Calibration,"Convert relative depth into metric height using DEM/SRTM/GCP/semantics/statistics",Phase 29 PeakRecoveryMLP + DTM anchoring,runs/phase29_peak_recovery/,PARTIAL,High - generalisation gap,HIGH,"Create modular calibration engine supporting Monocular, DEM Anchored, Ground Referenced, GCP Anchored, and Structural Prior"
REQ-05,Building Peak Height Recovery,"Recover skyscraper and tall building heights without clipping",Phase 29 PeakRecoveryMLP on building features,scripts/run_phase29_peak_recovery.py,PASS,Medium,MEDIUM,"Preserve locked Phase 29 MLP checkpoints as the production structural prior"
REQ-06,DTM & Ground Surface Extraction,"Separate ground terrain from above-ground objects (nDSM)",Morphological filter + multiscale opening,scripts/run_phase30_terrain_dtm.py,PASS,Low,LOW,"Preserve Phase 30 DTM estimation"
REQ-07,3D Terrain & Building Mesh Generation,"Project original optical image onto generated 3D surface mesh with building structures",Phase 33D hybrid DTM + wall + roof mesh,app.py,PASS,None,HIGH,"Maintain clean wall/roof topology and prepare WebGL geometry payloads"
REQ-08,Interactive 3D Navigation & Flythrough,"Provide first-person navigation, flythrough, arbitrary aerial viewpoints",Static PyVista screenshots only,app.py,PARTIAL,High - user experience,HIGH,"Embed Three.js WebGL Interactive Viewer in Streamlit with OrbitControls, WASD first-person navigation, and automated cinematic flythrough"
REQ-09,Structural Height Measurement Tool,"Interactive building and point height inspection (Ground Z, Roof Z, Height)",Summary metric cards only; no interactive building inspection,app.py,PARTIAL,Low,HIGH,"Add interactive building massing inspector table with ID, ground elev, roof elev, delta H, and point measurement inspector"
REQ-10,Terrain & Facade Slope Analysis,"Compute slope in degrees, slope percentage, aspect; separate terrain vs building walls",None,None,MISSING,Low,HIGH,"Implement numpy gradient slope engine computing slope (deg, %), aspect, colorized slope map, and building mask filtering"
REQ-11,Quantitative Validation Dashboard,"Evaluate DSM against reference using MAE, RMSE, Pearson/Spearman correlation, error maps",Basic summary stats without visual error maps or binned charts in UI,depthwizard/metrics/height_metrics.py,PARTIAL,Low,MEDIUM,"Build full validation panel in app: MAE, RMSE, Pearson/Spearman, bias, P90 AE, error map, and binned height breakdown"
REQ-12,Multi-Landscape Robustness,"Demonstrate performance across urban, sparse, hilly, forested landscapes",DFC2023 11-city dataset evaluated,runs/dfc2023_multicity_prep/,PASS,Medium - non-urban data sparsity,MEDIUM,"Document landscape coverage across DFC cities and provide modular plugin interface for external DEM datasets"
REQ-13,Sensor Fusion & Sparse Anchors,"Evaluate sparse LiDAR/radar depth completion / sensor fusion feasibility (Professor Advice)",Phase 34 (pseudo-LiDAR) & Phase 35 (sparse metric),runs/phase34_pseudolidar_calibration/,PARTIAL,Medium - proxy data,HIGH,"Formalize professor diagnostic experiments in scripts/experiments/professor_methods/ with honest scientific verdicts"
REQ-14,Multi-View Geometry Feasibility,"Evaluate multi-view / SLAM feasibility for scale recovery (Professor Advice)",None,None,MISSING,Low,MEDIUM,"Create scripts/experiments/professor_methods/04_multiview_geometry_probe.py documenting single-view vs multi-view constraints"
REQ-15,Unified Software Suite & Deployment,"Unified deployable application with single-command startup and technical documentation",Streamlit app.py with partial docs,app.py,PARTIAL,Low,HIGH,"Author comprehensive DEPLOYMENT.md, automated smoke test script, and export managers for GeoTIFF/VTP/preview"
