claim,Phase55_reported,verification_status,confidence
E_seed_0 selected on Copenhagen IoU,E_seed_0,PLAUSIBLE_NOT_VERIFIED,MEDIUM (depends on inference)
Copenhagen IoU = 0.5241,0.5241,SUSPICIOUS_FAST,LOW (execution too fast)
Threshold = 0.30 (optimal on CPH),0.30,SUSPICIOUS_FAST,LOW (execution too fast)
New York IoU = 0.1800,0.1800,SUSPICIOUS_FAST,LOW (execution too fast)
Phase 52 NY IoU = 0.1365,0.1365,KNOWN_FROM_PHASE52,HIGH (external reference)
Improvement = +31.8%,+31.8%,CALCULATED_FROM_DELTA,MEDIUM (depends on both)
All 10 checkpoints unique,Yes (10/10 unique),VERIFIED_BY_HASH,HIGH (file hashes verified)
Phase 55 execution time = 29 sec,29 seconds,NOT_PLAUSIBLE,LOW (mathematically implausible)
Config E different from A/B/C/D,Yes,PARTIALLY_VERIFIED,MEDIUM (code exists but untested)
3D height RMSE improved,2.3m → 1.9m,REQUIRES_3D_AUDIT,UNKNOWN (3D untested)
