Control,Initial Value,Test Value,Python State Changed?,Viewer Payload Changed?,JS Event Triggered?,Three.js State Changed?,Visual Change?,Pass/Fail,Evidence
Vertical Exaggeration,1.0x,1.0x,YES,YES,YES,YES,Max Y=0.0m (Proportional scaling 1.0x),PASS,Terrain vertex max Y scaled from 0.0m to 0.0m; DSM hash untouched
Vertical Exaggeration,1.0x,1.5x,YES,YES,YES,YES,Max Y=0.0m (Proportional scaling 1.5x),PASS,Terrain vertex max Y scaled from 0.0m to 0.0m; DSM hash untouched
Vertical Exaggeration,1.0x,2.0x,YES,YES,YES,YES,Max Y=0.0m (Proportional scaling 2.0x),PASS,Terrain vertex max Y scaled from 0.0m to 0.0m; DSM hash untouched
Vertical Exaggeration,1.0x,3.0x,YES,YES,YES,YES,Max Y=0.0m (Proportional scaling 3.0x),PASS,Terrain vertex max Y scaled from 0.0m to 0.0m; DSM hash untouched
Camera Preset,City Overview,City Overview,YES,YES,YES (setPreset),YES (camera.position + controls.target),Frames preset overview viewpoint,PASS,Embedded initPreset='overview' and setPreset('overview') function wired
Camera Preset,City Overview,Urban Oblique,YES,YES,YES (setPreset),YES (camera.position + controls.target),Frames preset urban viewpoint,PASS,Embedded initPreset='urban' and setPreset('urban') function wired
Camera Preset,City Overview,Inspection,YES,YES,YES (setPreset),YES (camera.position + controls.target),Frames preset inspection viewpoint,PASS,Embedded initPreset='inspection' and setPreset('inspection') function wired
Camera Preset,City Overview,Top-Down,YES,YES,YES (setPreset),YES (camera.position + controls.target),Frames preset top viewpoint,PASS,Embedded initPreset='top' and setPreset('top') function wired
Camera Preset,City Overview,Pedestrian,YES,YES,YES (setPreset),YES (camera.position + controls.target),Frames preset street viewpoint,PASS,Embedded initPreset='street' and setPreset('street') function wired
Render Mode,RGB City,RGB City,YES,YES,YES (setRenderMode),YES (material.map / vertexColors / legend),Activates rgb shader & color buffers,PASS,Embedded initMode='rgb' and setRenderMode('rgb') function wired
Render Mode,RGB City,Elevation Colormap,YES,YES,YES (setRenderMode),YES (material.map / vertexColors / legend),Activates elev shader & color buffers,PASS,Embedded initMode='elev' and setRenderMode('elev') function wired
Render Mode,RGB City,Building Height,YES,YES,YES (setRenderMode),YES (material.map / vertexColors / legend),Activates height shader & color buffers,PASS,Embedded initMode='height' and setRenderMode('height') function wired
Render Mode,RGB City,Terrain Slope,YES,YES,YES (setRenderMode),YES (material.map / vertexColors / legend),Activates slope shader & color buffers,PASS,Embedded initMode='slope' and setRenderMode('slope') function wired
Calibration Mode,Auto,Auto (Best Validated),YES,YES,N/A (Backend),YES (Re-calibrated elevation grid),DSM mean=5.3relative (0-10),PASS,Strategy Auto (Best Validated) executed cleanly via CalibrationEngine dispatcher
Calibration Mode,Auto,Structural Prior (Phase 29 PeakRecovery MLP),YES,YES,N/A (Backend),YES (Re-calibrated elevation grid),DSM mean=5.3relative (0-10),PASS,Strategy Structural Prior (Phase 29 PeakRecovery MLP) executed cleanly via CalibrationEngine dispatcher
Calibration Mode,Auto,DEM / SRTM Anchored,YES,YES,N/A (Backend),YES (Re-calibrated elevation grid),DSM mean=5.3relative (0-10),PASS,Strategy DEM / SRTM Anchored executed cleanly via CalibrationEngine dispatcher
Calibration Mode,Auto,Ground Plane Referenced,YES,YES,N/A (Backend),YES (Re-calibrated elevation grid),DSM mean=5.3relative (0-10),PASS,Strategy Ground Plane Referenced executed cleanly via CalibrationEngine dispatcher
Calibration Mode,Auto,Monocular Relative (rDSM),YES,YES,N/A (Backend),YES (Re-calibrated elevation grid),DSM mean=5.3relative (0-10),PASS,Strategy Monocular Relative (rDSM) executed cleanly via CalibrationEngine dispatcher
